time,data
0,2.88237e-06
1,6.1021e-06
2,1.15459e-05
3,1.92138e-05
4,2.91059e-05
5,4.1222e-05
6,5.55623e-05
7,7.21267e-05
8,9.09154e-05
9,0.000111928
10,0.000135165
11,0.000160627
12,0.000188312
13,0.000218222
14,0.000250357
15,0.000284716
16,0.000321299
17,0.000360107
18,0.000401139
19,0.000444397
20,0.000489879
21,0.000537585
22,0.000587517
23,0.000639674
24,0.000694055
25,0.000750662
26,0.000809494
27,0.000870552
28,0.000933834
29,0.000999343
30,0.00106708
31,0.00113704
32,0.00120922
33,0.00128363
34,0.00136027
35,0.00143913
36,0.00152022
37,0.00160354
38,0.00168908
39,0.00177685
40,0.00186685
41,0.00195907
42,0.00205352
43,0.0021502
44,0.00224911
45,0.00235024
46,0.0024536
47,0.00255919
48,0.00266701
49,0.00277705
50,0.00288933
51,0.00300383
52,0.00312056
53,0.00323952
54,0.00336071
55,0.00348413
56,0.00360978
57,0.00373766
58,0.00386777
59,0.0040001
60,0.00413467
61,0.00427147
62,0.0044105
63,0.00455177
64,0.00469526
65,0.00484098
66,0.00498894
67,0.00513913
68,0.00529155
69,0.0054462
70,0.00560309
71,0.00576221
72,0.00592356
73,0.00608715
74,0.00625297
75,0.00642103
76,0.00659132
77,0.00676384
78,0.0069386
79,0.00711559
80,0.00729482
81,0.00747629
82,0.00765999
83,0.00784593
84,0.00803411
85,0.00822452
86,0.00841717
87,0.00861206
88,0.00880918
89,0.00900855
90,0.00921015
91,0.009414
92,0.00962008
93,0.0098284
94,0.010039
95,0.0102518
96,0.0104668
97,0.0106841
98,0.0109036
99,0.0111254
100,0.0113494
101,0.0115757
102,0.0118042
103,0.0120349
104,0.0122679
105,0.0125031
106,0.0127406
107,0.0129803
108,0.0132223
109,0.0134665
110,0.0137129
111,0.0139616
112,0.0142126
113,0.0144658
114,0.0147213
115,0.0149789
116,0.0152389
117,0.0155011
118,0.0157655
119,0.0160322
120,0.0163012
121,0.0165724
122,0.0168458
123,0.0171215
124,0.0173995
125,0.0176797
126,0.0179622
127,0.0182469
128,0.0185339
129,0.0188231
130,0.0191146
131,0.0194083
132,0.0197043
133,0.0200026
134,0.0203031
135,0.0206059
136,0.0209109
137,0.0212182
138,0.0215278
139,0.0218396
140,0.0221537
141,0.02247
142,0.0227886
143,0.0231095
144,0.0234326
145,0.023758
146,0.0240857
147,0.0244156
148,0.0247478
149,0.0250822
150,0.025419
151,0.025758
152,0.0260992
153,0.0264428
154,0.0267886
155,0.0271366
156,0.027487
157,0.0278396
158,0.0281945
159,0.0285517
160,0.0289111
161,0.0292728
162,0.0296368
163,0.0300031
164,0.0303717
165,0.0307425
166,0.0311156
167,0.031491
168,0.0318686
169,0.0322486
170,0.0326308
171,0.0330153
172,0.0334021
173,0.0337912
174,0.0341825
175,0.0345762
176,0.0349721
177,0.0353703
178,0.0357709
179,0.0361737
180,0.0365787
181,0.0369861
182,0.0373958
183,0.0378078
184,0.038222
185,0.0386386
186,0.0390574
187,0.0394786
